Type,Name,Solid,Physics,Flammable,Opacity,Luminance,Blast Resistance,Meta-data,NBT Data,Diffuse,Flow Speed (b/tick)
0,Air,No,No,No,0,0,0,No,,No,
1,Stone,Yes,No,No,15,0,30,No,,No,
2,Grass,Yes,No,No,15,0,3,No,,No,
3,Dirt,Yes,No,No,15,0,2.5,No,,No,
4,Cobblestone,Yes,No,No,15,0,30,No,,No,
5,Wood Planks,Yes,No,Yes,15,0,15,Yes,,No,
6,Sapling,No,No,No,0,0,0,Yes,,No,
7,Bedrock,Yes,No,No,15,0,18000000,No,,No,
8,Flowing Water,No,No,No,1,0,500,Yes,,Yes,0.2
9,Water,No,No,No,1,0,500,No,,Yes,0.2
10,Flowing Lava,No,No,No,0,15,0,Yes,,No,0.033333333333333
11,Lava,No,No,No,0,15,500,No,,No,0.033333333333333
12,Sand,Yes,Yes,No,15,0,2.5,No,,No,
13,Gravel,Yes,Yes,No,15,0,3,No,,No,
14,Gold Ore,Yes,No,No,15,0,15,No,,No,
15,Iron Ore,Yes,No,No,15,0,15,No,,No,
16,Coal Ore,Yes,No,No,15,0,15,No,,No,
17,Wood,Yes,No,Yes,15,0,10,Yes,,No,
18,Leaves,Yes,No,Yes,2,0,1,Yes,,Yes,
19,Sponge,Yes,No,No,15,0,3,No,,No,
20,Glass,Yes,No,No,0,0,1.5,No,,No,
21,Lapis Lazuli Ore,Yes,No,No,15,0,15,No,,No,
22,Lapis Lazuli,Yes,No,No,15,0,15,No,,No,
23,Dispenser,Yes,No,No,15,0,17.5,Yes,Trap,No,
24,Sandstone,Yes,No,No,15,0,4,Yes,,No,
25,Note,Yes,No,Yes,15,0,4,Yes,,No,
26,Bed,Yes,No,Yes,0,0,1,No,Music,No,
27,Powered Rail,No,No,No,0,0,3.5,Yes,,No,
28,Detector Rail,No,No,No,0,0,3.5,Yes,,No,
29,Sticky Piston,Yes,No,No,0,0,2.5,Yes,,No,
30,Cobweb,No,No,No,0,0,20,No,,No,
31,Tall Grass,No,No,Yes,0,0,0,Yes,,No,
32,Dead Bush,No,Yes,No,0,0,0,No,,No,
33,Piston,Yes,No,No,0,0,2.5,Yes,,No,
34,Piston Extension,Yes,No,No,0,0,2.5,Yes,,No,
35,Wool,Yes,No,Yes,15,0,4,Yes,,No,
